Record,A,B,C,Z
1,22,14,16,0
2,39,18,47,0
3,33,20,28,0
4,49,47,25,1
5,7,12,13,1
6,8,11,20,0
7,48,9,41,0
8,45,17,16,0
9,15,21,12,0
10,29,10,10,0
11,28,8,19,1
12,48,31,41,0
13,39,5,10,0
14,25,45,37,0
15,40,13,17,0
16,9,43,38,1
17,42,30,17,0
18,33,23,28,0
19,32,33,24,0
20,29,4,36,1
21,29,21,21,0
22,2,7,2,0
23,17,28,18,0
24,12,15,48,0
25,10,36,44,1
26,21,36,9,0
27,41,25,28,0
28,30,30,27,0
29,50,49,26,0
30,48,50,26,1
31,47,27,20,0
32,50,3,15,0
33,31,38,7,0
34,33,50,43,1
35,26,13,37,0
36,5,30,37,0
37,10,47,28,0
38,38,11,9,0
39,9,7,29,0
40,50,5,19,1
41,39,6,27,0
42,7,30,50,0
43,30,31,40,0
44,6,30,40,0
45,6,21,31,0
46,32,12,26,0
47,23,42,33,0
48,8,50,49,0
49,43,13,31,1
50,38,34,32,0
